"Date";"Nom du vin";"Millésime";"Achat";"Consommation";"Prix unitaire";"Prix de vente";"Devise";"Occasion";"Fournisseur";"Commentaires";"IdContact";"IdVin"
"10/10/2024";Albert Besombes Bourgueil L'Attire-Bouchon;2023;1;0;0;;"€";"";"";"";"";"559588af-510a-41b8-b432-cb034b5b45bd"
"12/10/2024";Albert Besombes Bourgueil L'Attire-Bouchon;2023;0;1;;0;"€";"";"";"";"";"559588af-510a-41b8-b432-cb034b5b45bd"
"26/10/2023";Ambroisie;2022;1;0;0;;"€";"";"";"";"";"b7c9f336-39ea-439f-b594-b7c8b454fc22"
"11/04/2024";Ambroisie;2022;0;1;;0;"€";"";"";"";"";"b7c9f336-39ea-439f-b594-b7c8b454fc22"
"11/04/2020";Ambroisie Muscat Sèvre et Maine;2016;1;0;0;;"€";"";"";"";"";"b9352737"
"07/11/2021";Ambroisie Muscat Sèvre et Maine;2016;0;1;;0;"€";"";"";"";"";"b9352737"
"02/05/2025";Amédée Les Pierres Plates;2024;1;0;0;;"€";"";"";"";"";"329bff71-94b9-4682-a473-da6c507d4f20"
"19/09/2025";Amédée Les Pierres Plates;2024;0;1;;0;"€";"";"";"";"";"329bff71-94b9-4682-a473-da6c507d4f20"
"07/11/2021";Amédée Luberon À l'Ombre des Platanes;2019;1;0;0;;"€";"";"";"";"";"ed6e4d22-a974-491f-adc9-083142e876d2"
"05/03/2022";Amédée Luberon À l'Ombre des Platanes;2019;0;1;;0;"€";"";"";"";"";"ed6e4d22-a974-491f-adc9-083142e876d2"
"26/08/2023";Antoine Barrier Coteaux Bourguignons;2021;1;0;7;;"€";"";"Leclerc express ";"";"cccdf91c-7354-43b5-b1a1-d28775b2f954";"770670a5-e646-46f7-82dc-e5c84531ce6c"
"30/09/2023";Antoine Barrier Coteaux Bourguignons;2021;0;1;;0;"€";"";"";"";"";"770670a5-e646-46f7-82dc-e5c84531ce6c"
"12/12/2022";Apremont;2021;1;0;0;;"€";"";"Leclerc express ";"vin raclette tennis";"cccdf91c-7354-43b5-b1a1-d28775b2f954";"54196c37-6b72-4def-974d-bae585184afc"
"16/12/2023";Apremont;2021;0;1;;0;"€";"";"";"raclette tennis";"";"54196c37-6b72-4def-974d-bae585184afc"
"23/12/2023";Apremont;2021;1;0;0;;"€";"";"";"";"";"54196c37-6b72-4def-974d-bae585184afc"
"20/12/2024";Apremont;2021;0;1;;0;"€";"";"";"";"";"54196c37-6b72-4def-974d-bae585184afc"
"01/02/2022";Apremont Cellier De La Combe;2020;1;0;0;;"€";"";"";"";"";"a555148b-7f24-40e0-a780-4c12b510df36"
"05/03/2022";Apremont Cellier De La Combe;2020;0;1;;0;"€";"";"";"";"";"a555148b-7f24-40e0-a780-4c12b510df36"
"01/03/2024";Apremont Cellier Mont Charvaz;2023;1;0;7,6;;"€";"";"Auchan";"";"afcfdea6-b2e5-4c51-b6bd-c0a1da0ced83";"fd2052b6-2395-4174-b793-d0b3e82bb658"
"11/04/2024";Apremont Cellier Mont Charvaz;2023;0;1;;0;"€";"";"";"";"";"fd2052b6-2395-4174-b793-d0b3e82bb658"
"01/08/2023";B&G Réserve Pinot Noir;2022;1;0;9,5;;"€";"";"Vinatis";"";"743dd6d5-65ea-496c-938a-4f3e15aaa423";"5b20e133-66f0-47ad-884a-a379871b2d7b"
"25/10/2024";B&G Réserve Pinot Noir;2022;0;1;;0;"€";"";"";"";"";"5b20e133-66f0-47ad-884a-a379871b2d7b"
"14/05/2022";Baratonne;2020;1;0;4;;"€";"";"Auchan";"";"afcfdea6-b2e5-4c51-b6bd-c0a1da0ced83";"436416c8-02c1-4208-a622-08ad990a26fd"
"07/08/2022";Baratonne;2020;0;1;;0;"€";"";"";"";"";"436416c8-02c1-4208-a622-08ad990a26fd"
"01/02/2022";Baron De Salle;2018;1;0;0;;"€";"";"";"";"";"1495b395-4286-42f9-b9ba-a04ecf2057a0"
"23/04/2022";Baron De Salle;2018;0;1;;0;"€";"";"";"";"";"1495b395-4286-42f9-b9ba-a04ecf2057a0"
