"Date";"Nom du vin";"Millésime";"Lieu";"Note";"EmotiPLOC";"Couleur";"Personnes présentes";"Plats";"Commentaires";"IdVin"
"12/03/2016";"Mission St. Vincent Réserve Bordeaux";2014;"";;"";"#C9193A";"";"";"";""
"12/03/2016";"Mouton Cadet Bordeaux Rouge";2012;"";;"";"#C9193A";"";"";"";""
"12/03/2016";"Tutiac Blaye Côtes de Bordeaux Rouge";2014;"";;"";"#C9193A";"";"";"";""
"12/03/2016";"Domaine de la croix de mission Les barriques de Blanche";2013;"";;"";"#FFD374";"";"";"Marange silvange achète a la foire aux vins 2015";""
"12/03/2016";"Château Roux de Beaucés Bordeaux";2011;"";;"";"#C9193A";"";"";"";""
"12/03/2016";"Château Bonnet Bordeaux Blanc";2013;"";;"";"#FFD374";"";"";"";""
"12/03/2016";"Casillero del Diablo Cabernet Sauvignon (Reserva)";2013;"";90;"";"#C9193A";"";"";"";""
"03/02/2018";"Terres Ocrees Responsable Coteaux Varois en Provence Rosé";2013;"";90;"";"#E18891";"";"";"Très leger, pas trop sucré";""
"31/12/2019";"Pierson Cuvelier Vignerons Indépendants Prestige Blanc de Noirs Brut Champagne Grand Cru";;"";;"";"#EDD6B6";"";"";"";""
"11/04/2020";"Berticot Secret de Berticot Rouge";;"";;"";"#C9193A";"";"";"";"8cfbeeaa"
"11/04/2020";"Boulaouane Rouge de Maroc";;"";;"";"#C9193A";"";"";"";"fcba73d1"
"11/04/2020";"Maison Bouey Chateau Brandeau Bordeaux Supérieur";2016;"";;"";"#C9193A";"";"";"";"0e5c2bd0"
"11/04/2020";"Terrasses d'Autan Gaillac";2018;"";;"";"#C9193A";"";"";"";"743277e4"
"11/04/2020";"Finca el Recreo Tinto";2016;"";;"";"#C9193A";"";"";"";"3d94a8bc"
"11/04/2020";"Saint-Michel Grande Réserve Gaillac";2016;"";;"";"#C9193A";"";"";"";"70f9c6b3"
"11/04/2020";"Henri Molinet Juliénas Cru Du Beaujolais";2006;"";;"";"#C9193A";"";"";"";"013dbdaa"
"11/04/2020";"Château Jacques Noir Saint-Émilion";2015;"";;"";"#C9193A";"";"";"";"aff7f4d5"
"11/04/2020";"Château Macquin Saint-Georges-Saint-Émilion";2015;"";;"";"#C9193A";"";"";"";"4b9554ab"
"11/04/2020";"Stéphane Brocard - Closerie des Alisiers Bourgogne Pinot Noir";2017;"";;"";"#C9193A";"";"";"";"d2b79fe6"
"11/04/2020";"Château La Gasparde Côtes de Castillon";2007;"";;"";"#C9193A";"";"";"";"facb7e02"
