"Nom";"Contact principal";"Adresse";"Complément";"Code postal";"Ville";"Pays";"Email";"Site web";"Téléphone";"Portable";"Fax";"Commentaires"
"Auchan";"";"Auchan ";"";"";"";"";"";"";"";"";"";""
"Botanic";"";"";"";"";"";"";"";"";"";"";"";""
"Cactus";"";"";"";"";"bettembourg";"Luxembourg";"";"";"";"";"";""
"Cadeau";"";"";"";"";"";"";"";"";"";"";"";""
"Caviste Resto Fixin";"";"";"";"";"";"";"";"";"";"";"";""
"Claudine";"Claudine ";"";"";"";"";"";"";"";"";"";"";""
"Confrérie saint etienne";"";"";"";"";"kimtzheim";"";"";"";"";"";"";""
"Cora Foetz";"";"";"";"";"";"";"";"";"";"";"";""
"Céline";"";"";"";"";"";"";"";"";"";"";"";""
"Grand Frais";"";"";"";"";"";"";"";"";"";"";"";""
"Hospices Strasbourg ";"";"";"";"";"";"";"";"";"";"";"";""
"IUT Metz";"";"";"";"";"";"";"";"";"";"";"";""
"Leclerc";"";"";"";"";"";"";"";"";"";"";"";""
"Leclerc express ";"";"";"";"";"";"";"";"";"";"";"";""
"Les Revue Des Vins De France";"";"";"";"";"";"";"";"";"";"";"";""
"Mets Et Vins";"";"";"";"";"";"";"";"";"";"";"";""
"Noz";"";"";"";"";"";"";"";"";"";"";"";""
"Papa";"papa";"";"";"";"";"";"";"";"";"";"";""
"Paul Matus";"";"";"";"";"";"";"";"";"";"";"";""
"Philippe Ocvirk";"";"";"";"";"";"";"";"";"";"";"";""
"Pizza Cadeau";"";"";"";"";"";"";"";"";"";"";"";""
"Salon Vins Maizieres Les Metz";"";"";"";"";"";"";"";"";"";"";"";""
"Smatch Leudelange";"";"";"";"";"";"";"";"";"";"";"";""
"Steph Nassoy";"";"";"";"";"";"";"";"";"";"";"";""
"Vieux Boucau";"vieux Boucau ";"";"";"";"";"";"";"";"";"";"";""
"Vinatis";"";"";"";"";"";"";"";"";"";"";"";""
"Virgile";"";"";"";"";"";"";"";"";"";"";"";""
