"Nom";"Contact principal";"Adresse";"Complément";"Code postal";"Ville";"Pays";"Email";"Site web";"Téléphone";"Portable";"Fax";"Commentaires"
"Albert Besombes ";"";"24, rue Jules-Amiot ";"";"49404";"Saumur";"France";"emilien.boulfray@uapl.fr";"";"02 41 50 23 23";"";"";""
"Ambroisie";"";"";"";"";"";"";"";"";"";"";"";""
"Amédée";"";"";"";"84120";"PERTUIS";"France";"contact@caves-amedee.fr";"http://www.les-vins-amedee.fr";"04 90 07 40 05";"";"";""
"Antoine Barrier ";"";"52, rue Camille-Desmoulins  ";"";"92135";"Issy-les-Moulineaux";"France";"";"";"01 46 62 76 00";"";"";""
"Baron Philippe de Rothschild";"";"Rue de Grassi - B.P. 117";"";"33250";"Pauillac";"France";"";"http://www.bpdr.com";"+33 (0)5 56 73 20 20";"";"";""
"Barton & Guestier";"";"87 rue du Dehez";"";"33290";"Blanquefort";"France";"contact@barton-guestier.com";"http://www.barton-guestier.com";"+33 (0)5 56 95 48 00";"";"";""
"Batasiolo";"";"Frazione Annunziata 87 ";"";"12064";"La Morra";"Italie";"info@batasiolo.com";"http://www.batasiolo.com";"+39 0173 50130";"";"";""
"Bersano & Riccadonna S.p.A.";"";"";"";"14049";"Nizza Monferrato (AT)";"Italie";"";"";"";"";"";""
"Berticot";"";"";"";"";"";"";"";"";"";"";"";""
"Blason de Bourgogne ";"";"Rue du serein";"";"89800";"Chablis";"France";"";"http://www.blason.com/fr/";"03 86 42 88 79 ";"";"";""
"Bliemerose";"";"";"";"";"";"";"";"";"";"";"";""
"Bonserine";"";"";"";"";"";"";"";"";"";"";"";""
"Borie Manoux";"";"";"";"";"";"";"";"";"";"";"";""
"Boulaouane";"";"";"";"";"";"";"";"";"";"";"";""
"Cave de Cleebourg";"";"Route du Vin";"";"67160";"Cleebourg";"France";"info@cave-cleebourg.com";"http://www.cave-cleebourg.com";"+33 (0)3 88 94 50 33";"";"";""
"Cave Saint-Désirat";"";"Quartier Tine Rodet n°8";"";"07340";"Saint Désirat";"France";"maisondesvins@cave-saint-desirat.fr";"https://cave-saint-desirat.com/";"+33 (0)4 75 34 22 05";"";"";""
"Cave Vinicole de Hunawihr";"";"48 route de Ribeauvillé - B.P. 10016";"";"68150";"Hunawihr";"France";"info@cave-hunawihr.com";"http://www.cave-hunawihr.com";"+33 (0)3 89 73 61 67";"";"";""
"Champagne Charles Ellner";"";"1-6 rue Côte Legris";"";"51200";"EPERNAY";"France";"info@champagne-ellner.com";"https://www.champagne-ellner.com";" 03 26 55 60 25";"";"";""
"Champagne Charles Lafitte";"";"";"";"";"";"France";"";"http://www.vrankenpommery.fr/";"+33 (0)3 26 53 33 30";"";"";""
"Champagne Nicolas Feuillatte";"";"";"";"";"";"France";"";"http://www.feuillatte.com";"+33 (0)3 26 59 55 50";"";"";""
"Champagne Tsarine";"";"Allée du Vignoble";"";"51100";"Reims";"France";"contact@tsarine.com";"http://www.tsarine.com/";"03 26 36 61 60";"";"";""
