"Nom du vin";"Millésime";"Couleur";"Stock";"Stock (en cave)";"Producteur";"Pays";"Région";"Appellation";"Cépages";"Format de bouteille";"Classement";"Cuvée";"Degré d'alcool";"Référence";"Tags";"Apogée";"T° de service";"Estimation";"Note";"Commentaires";"IdVin";"IdContact";"IdDocument";"IdDocumentCouverture"
"Albert Besombes Bourgueil L'Attire-Bouchon";2023;"Rouge";0;0;"Albert Besombes ";"France";"Vallée de la Loire";"Bourgueil";"Cabernet Franc";"Bouteille";"";"";12,5;"";"";;16;4;;"";"559588af-510a-41b8-b432-cb034b5b45bd";"8801851d-acc5-4598-bfa8-980c7c4aee34";"5b64f573-aef8-4d0f-87b9-47a82db5c219";""
"Ambroisie";2022;"Rosé";0;0;"";"France";"Vallée de la Loire";"Rosé d'Anjou";"";"Bouteille";"";"";;"";"";;;;;"";"b7c9f336-39ea-439f-b594-b7c8b454fc22";"";"6fbd0524-b99b-4c84-8fb5-0b16569c20e6";"5291b135-b3b6-4f7c-bffb-5a0fece61017"
"Ambroisie Muscat Sèvre et Maine";2016;"Blanc";0;0;"Ambroisie";"France";"";"";"";"Bouteille";"";"";;"";"";;;;;"";"b9352737";"26ae095f";"b6ccd5f7";""
"Amédée Les Pierres Plates";2024;"Rosé";0;0;"";"France";"Provence";"Côtes de Provence";"";"Bouteille";"";"";;"";"";;;6;;"";"329bff71-94b9-4682-a473-da6c507d4f20";"";"a20a77a3-d280-4a1f-b471-c6341793ac3b";"254268ad-4910-47ef-910c-9e12022bc824"
"Amédée Luberon À l'Ombre des Platanes";2019;"Rouge";0;0;"Amédée";"France";"Vallée du Rhône";"Luberon";"60% Grenache, 40% Syrah";"Bouteille";"";"";14,5;"";"";;16;;;"";"ed6e4d22-a974-491f-adc9-083142e876d2";"f9950989-4d8e-43a3-a9e8-8b032b36b75d";"752b4cfc-16c7-4808-bc79-b60958f030f7";""
"Antoine Barrier Coteaux Bourguignons";2021;"Rouge";0;0;"Antoine Barrier ";"France";"Bourgogne";"Coteaux Bourguignons";"Pinot Noir";"Bouteille";"";"";12,5;"";"";;15;7;;"";"770670a5-e646-46f7-82dc-e5c84531ce6c";"1c672f37-e0ed-4022-80a9-2a12ae14b129";"4baefbb2-6ace-4a4c-b064-2ee42fd1a679";""
"Apremont";2021;"Blanc";0;0;"";"France";"Savoie";"Vin de Savoie";"";"Bouteille";"";"";;"";"";;;;;"";"54196c37-6b72-4def-974d-bae585184afc";"";"5f79baef-ce85-4b76-ba02-f90d4390824d";"75ab3242-042b-4d89-9b4a-340db9b1f800"
"Apremont Cellier De La Combe";2020;"Blanc";0;0;"";"France";"Savoie";"Vin de Savoie";"";"Bouteille";"";"";;"";"celine,2022,grand frais";;;;;"";"a555148b-7f24-40e0-a780-4c12b510df36";"";"c7fd540b-812c-48a6-a7af-5d41d01a8b36";""
"Apremont Cellier Mont Charvaz";2023;"Rouge";0;0;"";"";"";"";"";"Bouteille";"";"";;"";"";;;7,6;;"";"fd2052b6-2395-4174-b793-d0b3e82bb658";"";"5da0b837-38cd-48cb-b31e-731e200f055e";"039deb85-24b4-47b1-98aa-9fcb48e6aab9"
"B&G Réserve Pinot Noir";2022;"Rouge";0;0;"Barton & Guestier";"France";"Corse";"Île de Beauté";"Pinot Noir";"Bouteille";"";"";12;"";"";;14;9,5;;"";"5b20e133-66f0-47ad-884a-a379871b2d7b";"cf7351c2-5c8a-4155-a988-0e6dd310531a";"f43256ff-cecb-41a0-99e8-5c5cc99c7e10";""
